customer_message,sentiment_label
"Hi, your assistance with my order status was much appreciated. I'm very satisfied with the results.",Satisfied
I need some clarification about my account access. What are the next steps?,Neutral
"Good day, I'm checking in about my payment and would like to get further details.",Neutral
My experience with your service has been extremely poor. My order status problem has lingered for a long time without any resolution.,Frustrated
"Hello, your assistance with my technical support was much appreciated. I'm very satisfied with the results.",Satisfied
My experience with your service has been extremely disappointing. My account access problem has lingered for several minutes without any resolution.,Frustrated
"Thanks for your help! My payment problem was fixed within several minutes, and the service was very professional.",Satisfied
"Hey there, I have a question regarding my refund. Can you provide more information on this matter?",Neutral
My experience with your service has been extremely unacceptable. My delivery problem has lingered for several minutes without any resolution.,Frustrated
"Dear Support Team, I wanted to thank you for resolving my payment so promptly. I appreciate the excellent service!",Satisfied
I'm happy with how quickly my payment was addressed. Your team handled my case impressively!,Satisfied
This is my third time contacting you about my account access. It's been several minutes and the service remains inadequate.,Frustrated
My experience with your service has been extremely below expectations. My payment problem has lingered for several minutes without any resolution.,Frustrated
"Hello, I wanted to thank you for resolving my technical support so promptly. I appreciate the excellent service!",Satisfied
"Hello, I have a question regarding my technical support. Can you provide more information on this matter?",Neutral
I've been waiting for a response about my technical support for two days and I'm getting tired of this disappointing service.,Frustrated
"Dear Support Team, your assistance with my order status was much appreciated. I'm very satisfied with the results.",Satisfied
"Good day, I'm checking in about my payment and would like to get further details.",Neutral
This is my third time contacting you about my order status. It's been a long time and the service remains inadequate.,Frustrated
"Good day, I am really upset because my technical support issue has not been resolved for two days. This service is poor.",Frustrated
"Hello, I am really upset because my payment issue has not been resolved for a long time. This service is poor.",Frustrated
Great job on resolving my delivery. I received a prompt response and the service was outstanding.,Satisfied
I need some clarification about my technical support. What are the next steps?,Neutral
My experience with your service has been extremely poor. My order status problem has lingered for half an hour without any resolution.,Frustrated
This is my third time contacting you about my order status. It's been a long time and the service remains below expectations.,Frustrated
"Good day, I'm checking in about my delivery and would like to get further details.",Neutral
Great job on resolving my delivery. I received a prompt response and the service was outstanding.,Satisfied
I would like to know the current status of my order status. Please advise.,Neutral
"Dear Support Team, your assistance with my technical support was much appreciated. I'm very satisfied with the results.",Satisfied
I would like to know the current status of my delivery. Please advise.,Neutral
"Good day, I wanted to thank you for resolving my refund so promptly. I appreciate the excellent service!",Satisfied
Great job on resolving my order status. I received a prompt response and the service was outstanding.,Satisfied
"Thanks for your help! My payment problem was fixed within several minutes, and the service was very professional.",Satisfied
"Thanks for your help! My account access problem was fixed within an hour, and the service was very professional.",Satisfied
"Hello, I am really upset because my payment issue has not been resolved for a long time. This service is disappointing.",Frustrated
"Hi, I am really upset because my delivery issue has not been resolved for half an hour. This service is frustrating.",Frustrated
I've been waiting for a response about my technical support for half an hour and I'm getting tired of this inadequate service.,Frustrated
I'm happy with how quickly my refund was addressed. Your team handled my case impressively!,Satisfied
"Hi, I wanted to thank you for resolving my payment so promptly. I appreciate the excellent service!",Satisfied
"Dear Support Team, I'm checking in about my payment and would like to get further details.",Neutral
"Thanks for your help! My order status problem was fixed within three days, and the service was very professional.",Satisfied
I would like to know the current status of my account access. Please advise.,Neutral
Great job on resolving my delivery. I received a prompt response and the service was outstanding.,Satisfied
"Dear Support Team, I wanted to thank you for resolving my refund so promptly. I appreciate the excellent service!",Satisfied
I need some clarification about my refund. What are the next steps?,Neutral
I would like to know the current status of my refund. Please advise.,Neutral
My experience with your service has been extremely frustrating. My account access problem has lingered for an hour without any resolution.,Frustrated
Great job on resolving my payment. I received a prompt response and the service was outstanding.,Satisfied
"Thanks for your help! My account access problem was fixed within three days, and the service was very professional.",Satisfied
"Hi, your assistance with my refund was much appreciated. I'm very satisfied with the results.",Satisfied
"Dear Support Team, your assistance with my order status was much appreciated. I'm very satisfied with the results.",Satisfied
"Thanks for your help! My technical support problem was fixed within a long time, and the service was very professional.",Satisfied
I am very disappointed. I ordered a headphones and have been facing technical support issues for a long time. The support is disappointing.,Frustrated
I am very disappointed. I ordered a tablet and have been facing payment issues for several minutes. The support is frustrating.,Frustrated
"Good day, I wanted to thank you for resolving my technical support so promptly. I appreciate the excellent service!",Satisfied
Could you please update me on the progress of my account access? I appreciate your help.,Neutral
I am very disappointed. I ordered a headphones and have been facing payment issues for two days. The support is frustrating.,Frustrated
I'm happy with how quickly my technical support was addressed. Your team handled my case impressively!,Satisfied
My experience with your service has been extremely poor. My payment problem has lingered for two days without any resolution.,Frustrated
"Hey there, I wanted to thank you for resolving my technical support so promptly. I appreciate the excellent service!",Satisfied
"Hey there, your assistance with my payment was much appreciated. I'm very satisfied with the results.",Satisfied
I need some clarification about my order status. What are the next steps?,Neutral
I would like to know the current status of my account access. Please advise.,Neutral
Could you please update me on the progress of my account access? I appreciate your help.,Neutral
"Thanks for your help! My delivery problem was fixed within several minutes, and the service was very professional.",Satisfied
"Hello, your assistance with my order status was much appreciated. I'm very satisfied with the results.",Satisfied
This is my third time contacting you about my delivery. It's been an hour and the service remains poor.,Frustrated
"Thanks for your help! My order status problem was fixed within an hour, and the service was very professional.",Satisfied
I've been waiting for a response about my technical support for several minutes and I'm getting tired of this inadequate service.,Frustrated
"Hi, I'm checking in about my delivery and would like to get further details.",Neutral
"Hello, I am really upset because my refund issue has not been resolved for an hour. This service is poor.",Frustrated
My experience with your service has been extremely inadequate. My account access problem has lingered for an hour without any resolution.,Frustrated
I need some clarification about my order status. What are the next steps?,Neutral
I need some clarification about my technical support. What are the next steps?,Neutral
Could you please update me on the progress of my order status? I appreciate your help.,Neutral
"Hey there, I have a question regarding my order status. Can you provide more information on this matter?",Neutral
"Hello, I am really upset because my delivery issue has not been resolved for an hour. This service is poor.",Frustrated
"Hi, I'm checking in about my order status and would like to get further details.",Neutral
Could you please update me on the progress of my account access? I appreciate your help.,Neutral
My experience with your service has been extremely inadequate. My account access problem has lingered for several minutes without any resolution.,Frustrated
"Hello, I'm checking in about my order status and would like to get further details.",Neutral
I am very disappointed. I ordered a smartphone and have been facing order status issues for three days. The support is below expectations.,Frustrated
Could you please update me on the progress of my delivery? I appreciate your help.,Neutral
"Hey there, I'm checking in about my refund and would like to get further details.",Neutral
Great job on resolving my refund. I received a prompt response and the service was outstanding.,Satisfied
"Good day, I am really upset because my delivery issue has not been resolved for two days. This service is below expectations.",Frustrated
"Dear Support Team, I'm checking in about my technical support and would like to get further details.",Neutral
My experience with your service has been extremely inadequate. My order status problem has lingered for an hour without any resolution.,Frustrated
I've been waiting for a response about my refund for three days and I'm getting tired of this frustrating service.,Frustrated
Great job on resolving my technical support. I received a prompt response and the service was outstanding.,Satisfied
"Hey there, I wanted to thank you for resolving my delivery so promptly. I appreciate the excellent service!",Satisfied
I would like to know the current status of my technical support. Please advise.,Neutral
I am very disappointed. I ordered a headphones and have been facing payment issues for several minutes. The support is below expectations.,Frustrated
"Hey there, I wanted to thank you for resolving my delivery so promptly. I appreciate the excellent service!",Satisfied
I need some clarification about my account access. What are the next steps?,Neutral
"Hello, I'm checking in about my payment and would like to get further details.",Neutral
I am very disappointed. I ordered a printer and have been facing payment issues for an hour. The support is inadequate.,Frustrated
Great job on resolving my technical support. I received a prompt response and the service was outstanding.,Satisfied
I need some clarification about my delivery. What are the next steps?,Neutral
I would like to know the current status of my technical support. Please advise.,Neutral
I'm happy with how quickly my delivery was addressed. Your team handled my case impressively!,Satisfied
I am very disappointed. I ordered a laptop and have been facing refund issues for a long time. The support is below expectations.,Frustrated
"Dear Support Team, I have a question regarding my delivery. Can you provide more information on this matter?",Neutral
I would like to know the current status of my account access. Please advise.,Neutral
This is my third time contacting you about my delivery. It's been two days and the service remains below expectations.,Frustrated
"Thanks for your help! My delivery problem was fixed within a long time, and the service was very professional.",Satisfied
Great job on resolving my refund. I received a prompt response and the service was outstanding.,Satisfied
"Thanks for your help! My payment problem was fixed within an hour, and the service was very professional.",Satisfied
I need some clarification about my account access. What are the next steps?,Neutral
Could you please update me on the progress of my payment? I appreciate your help.,Neutral
Great job on resolving my refund. I received a prompt response and the service was outstanding.,Satisfied
I'm happy with how quickly my delivery was addressed. Your team handled my case impressively!,Satisfied
I've been waiting for a response about my order status for three days and I'm getting tired of this poor service.,Frustrated
Great job on resolving my delivery. I received a prompt response and the service was outstanding.,Satisfied
I've been waiting for a response about my technical support for two days and I'm getting tired of this inadequate service.,Frustrated
"Hey there, your assistance with my account access was much appreciated. I'm very satisfied with the results.",Satisfied
I would like to know the current status of my delivery. Please advise.,Neutral
I need some clarification about my technical support. What are the next steps?,Neutral
"Thanks for your help! My account access problem was fixed within half an hour, and the service was very professional.",Satisfied
My experience with your service has been extremely inadequate. My account access problem has lingered for several minutes without any resolution.,Frustrated
"Hi, I am really upset because my account access issue has not been resolved for two days. This service is unacceptable.",Frustrated
I would like to know the current status of my refund. Please advise.,Neutral
My experience with your service has been extremely frustrating. My delivery problem has lingered for three days without any resolution.,Frustrated
I am very disappointed. I ordered a headphones and have been facing order status issues for three days. The support is poor.,Frustrated
My experience with your service has been extremely frustrating. My delivery problem has lingered for several minutes without any resolution.,Frustrated
I would like to know the current status of my order status. Please advise.,Neutral
"Hello, I am really upset because my order status issue has not been resolved for several minutes. This service is poor.",Frustrated
I've been waiting for a response about my refund for two days and I'm getting tired of this frustrating service.,Frustrated
Could you please update me on the progress of my delivery? I appreciate your help.,Neutral
This is my third time contacting you about my payment. It's been three days and the service remains inadequate.,Frustrated
I've been waiting for a response about my technical support for several minutes and I'm getting tired of this disappointing service.,Frustrated
My experience with your service has been extremely poor. My account access problem has lingered for two days without any resolution.,Frustrated
My experience with your service has been extremely below expectations. My delivery problem has lingered for half an hour without any resolution.,Frustrated
I am very disappointed. I ordered a tablet and have been facing order status issues for several minutes. The support is below expectations.,Frustrated
I would like to know the current status of my technical support. Please advise.,Neutral
My experience with your service has been extremely poor. My technical support problem has lingered for three days without any resolution.,Frustrated
"Hello, your assistance with my refund was much appreciated. I'm very satisfied with the results.",Satisfied
Great job on resolving my account access. I received a prompt response and the service was outstanding.,Satisfied
"Good day, I wanted to thank you for resolving my account access so promptly. I appreciate the excellent service!",Satisfied
I am very disappointed. I ordered a headphones and have been facing payment issues for a long time. The support is unacceptable.,Frustrated
I'm happy with how quickly my payment was addressed. Your team handled my case impressively!,Satisfied
"Thanks for your help! My refund problem was fixed within several minutes, and the service was very professional.",Satisfied
"Good day, I'm checking in about my technical support and would like to get further details.",Neutral
"Hi, I'm checking in about my delivery and would like to get further details.",Neutral
Could you please update me on the progress of my account access? I appreciate your help.,Neutral
I've been waiting for a response about my refund for two days and I'm getting tired of this below expectations service.,Frustrated
"Good day, I wanted to thank you for resolving my order status so promptly. I appreciate the excellent service!",Satisfied
I need some clarification about my payment. What are the next steps?,Neutral
I am very disappointed. I ordered a tablet and have been facing refund issues for two days. The support is poor.,Frustrated
This is my third time contacting you about my refund. It's been three days and the service remains below expectations.,Frustrated
I would like to know the current status of my technical support. Please advise.,Neutral
"Hey there, your assistance with my refund was much appreciated. I'm very satisfied with the results.",Satisfied
I need some clarification about my refund. What are the next steps?,Neutral
"Good day, I have a question regarding my technical support. Can you provide more information on this matter?",Neutral
Great job on resolving my account access. I received a prompt response and the service was outstanding.,Satisfied
I've been waiting for a response about my refund for three days and I'm getting tired of this below expectations service.,Frustrated
I am very disappointed. I ordered a watch and have been facing technical support issues for several minutes. The support is frustrating.,Frustrated
I'm happy with how quickly my delivery was addressed. Your team handled my case impressively!,Satisfied
I am very disappointed. I ordered a printer and have been facing technical support issues for an hour. The support is below expectations.,Frustrated
I've been waiting for a response about my refund for three days and I'm getting tired of this frustrating service.,Frustrated
I'm happy with how quickly my account access was addressed. Your team handled my case impressively!,Satisfied
I need some clarification about my delivery. What are the next steps?,Neutral
"Hello, I have a question regarding my refund. Can you provide more information on this matter?",Neutral
I would like to know the current status of my delivery. Please advise.,Neutral
I'm happy with how quickly my technical support was addressed. Your team handled my case impressively!,Satisfied
"Thanks for your help! My technical support problem was fixed within two days, and the service was very professional.",Satisfied
"Thanks for your help! My payment problem was fixed within half an hour, and the service was very professional.",Satisfied
"Hello, I wanted to thank you for resolving my technical support so promptly. I appreciate the excellent service!",Satisfied
"Thanks for your help! My payment problem was fixed within several minutes, and the service was very professional.",Satisfied
I would like to know the current status of my technical support. Please advise.,Neutral
"Hey there, I am really upset because my payment issue has not been resolved for several minutes. This service is disappointing.",Frustrated
"Thanks for your help! My account access problem was fixed within half an hour, and the service was very professional.",Satisfied
"Thanks for your help! My delivery problem was fixed within several minutes, and the service was very professional.",Satisfied
I've been waiting for a response about my delivery for two days and I'm getting tired of this frustrating service.,Frustrated
Great job on resolving my payment. I received a prompt response and the service was outstanding.,Satisfied
Great job on resolving my payment. I received a prompt response and the service was outstanding.,Satisfied
My experience with your service has been extremely frustrating. My payment problem has lingered for a long time without any resolution.,Frustrated
"Dear Support Team, your assistance with my payment was much appreciated. I'm very satisfied with the results.",Satisfied
This is my third time contacting you about my order status. It's been several minutes and the service remains poor.,Frustrated
"Hey there, I'm checking in about my order status and would like to get further details.",Neutral
This is my third time contacting you about my payment. It's been a long time and the service remains inadequate.,Frustrated
"Hey there, your assistance with my account access was much appreciated. I'm very satisfied with the results.",Satisfied
I'm happy with how quickly my delivery was addressed. Your team handled my case impressively!,Satisfied
I am very disappointed. I ordered a smartphone and have been facing account access issues for a long time. The support is frustrating.,Frustrated
Could you please update me on the progress of my order status? I appreciate your help.,Neutral
I would like to know the current status of my order status. Please advise.,Neutral
I've been waiting for a response about my order status for half an hour and I'm getting tired of this poor service.,Frustrated
This is my third time contacting you about my delivery. It's been a long time and the service remains unacceptable.,Frustrated
"Hey there, your assistance with my account access was much appreciated. I'm very satisfied with the results.",Satisfied
"Thanks for your help! My account access problem was fixed within an hour, and the service was very professional.",Satisfied
"Hello, your assistance with my account access was much appreciated. I'm very satisfied with the results.",Satisfied
"Hi, I am really upset because my technical support issue has not been resolved for three days. This service is poor.",Frustrated
"Thanks for your help! My order status problem was fixed within an hour, and the service was very professional.",Satisfied
I am very disappointed. I ordered a laptop and have been facing delivery issues for three days. The support is unacceptable.,Frustrated
"Dear Support Team, I'm checking in about my refund and would like to get further details.",Neutral
I would like to know the current status of my technical support. Please advise.,Neutral
I would like to know the current status of my refund. Please advise.,Neutral
I've been waiting for a response about my delivery for several minutes and I'm getting tired of this inadequate service.,Frustrated
I would like to know the current status of my account access. Please advise.,Neutral
This is my third time contacting you about my order status. It's been several minutes and the service remains frustrating.,Frustrated
I would like to know the current status of my refund. Please advise.,Neutral
"Hi, I wanted to thank you for resolving my technical support so promptly. I appreciate the excellent service!",Satisfied
I am very disappointed. I ordered a smartphone and have been facing refund issues for a long time. The support is poor.,Frustrated
"Hey there, I wanted to thank you for resolving my refund so promptly. I appreciate the excellent service!",Satisfied
I need some clarification about my refund. What are the next steps?,Neutral
I need some clarification about my technical support. What are the next steps?,Neutral
This is my third time contacting you about my delivery. It's been several minutes and the service remains below expectations.,Frustrated
I would like to know the current status of my refund. Please advise.,Neutral
"Thanks for your help! My order status problem was fixed within half an hour, and the service was very professional.",Satisfied
"Hello, I have a question regarding my account access. Can you provide more information on this matter?",Neutral
I am very disappointed. I ordered a laptop and have been facing technical support issues for three days. The support is poor.,Frustrated
I've been waiting for a response about my technical support for several minutes and I'm getting tired of this disappointing service.,Frustrated
"Good day, I am really upset because my payment issue has not been resolved for three days. This service is below expectations.",Frustrated
My experience with your service has been extremely inadequate. My account access problem has lingered for two days without any resolution.,Frustrated
